chunk_id,chunk_start,chunk_end,topic_id,cosine_sim,top_words_phi,top_words_rel
2,2005-02-03,2005-10-09,6,0.8686,"skirt, jacket, white, gown, coat, lace, short, spring, chiffon, print, silk, satin, pant, waist, blouse","lace, gown, ribbon, cream, satin, short, white, pretty, blouse, jacket, chiffon, lingerie, quiet, sheer, fragile"
2,2005-02-03,2005-10-09,7,0.8201,"white, skirt, print, jacket, coat, silk, spring, pant, big, young, high, short, denim, shirt, chiffon","denim, street, legging, hoodie, graphic, white, applause, big, tennis, kitsch, fun, energy, seasonal, bright, team"
2,2005-02-03,2005-10-09,8,0.8372,"skirt, coat, print, jacket, spring, white, chiffon, gown, fall, short, cotton, silk, signature, young, pant","focused, skirt, flat, cotton, floaty, voile, macram, spring, slipdresse, review, hem, slight, important, print, signature"
2,2005-02-03,2005-10-09,9,0.8665,"skirt, jacket, coat, print, white, gown, leather, pant, fall, silk, short, chiffon, spring, waist, lace","skirt, jacket, flare, coat, ancient, leather, bloomer, wool, easy, shimmering, pant, roman, supple, waist, print"
3,2006-02-03,2006-10-08,0,0.8925,"jacket, skirt, short, coat, white, spring, pant, gown, leather, shirt, fall, chiffon, print, suit, waist","short, skirt, jacket, white, spring, leggy, sand, coat, luxurious, consistent, chiffon, photo, heavy, presentation, gown"
3,2006-02-03,2006-10-08,1,0.867,"jacket, coat, skirt, gown, spring, silk, white, short, suit, pant, fall, sleeve, number, shoulder, leather","gown, jacket, sweatshirt, number, silk, cha, series, skirt, material, strap, restrained, suit, beaded, spring, coat"
3,2006-02-03,2006-10-08,2,0.8605,"jacket, print, skirt, short, coat, white, pant, silk, spring, shirt, suit, gown, fall, leather, high","limited, teen, flair, print, native, primary, artisan, scenario, singular, flavor, curtain, seat, jacket, kaleidoscopic, lemon"
3,2006-02-03,2006-10-08,3,0.9005,"coat, jacket, skirt, fall, leather, short, pant, fur, white, velvet, sleeve, young, high, waist, boot","fur, coat, boot, velvet, leather, jacket, fall, bag, big, tall, mink, skirt, pant, caftan, silvery"
3,2006-02-03,2006-10-08,4,0.8625,"jacket, coat, high, short, white, skirt, print, pant, spring, leather, shirt, body, fall, young, waist","body, high, greek, work, tailoring, coat, technology, jacket, romanticism, latex, precise, lightness, surrounding, technique, print"
3,2006-02-03,2006-10-08,5,0.879,"jacket, skirt, coat, spring, white, gown, short, print, silk, sleeve, lace, pant, young, high, shirt","snake, accomplished, appliqué, local, result, animal, sculpture, lace, beauty, island, comeback, sunset, sponsor, gown, tulle"
3,2006-02-03,2006-10-08,6,0.8867,"jacket, skirt, white, spring, coat, pant, short, silk, gown, sleeve, shirt, chiffon, waist, lace, high","chiffon, lace, jacket, violet, white, skirt, shirt, spring, waist, gown, circumstance, metaphor, silver, sleeve, silk"
3,2006-02-03,2006-10-08,7,0.8372,"short, jacket, coat, print, white, skirt, pant, silk, spring, young, leather, fall, high, patent, bag","print, patent, short, follower, clunky, founder, legging, nightclub, machine, owner, roomy, aqua, terry, period, young"
3,2006-02-03,2006-10-08,8,0.8596,"skirt, spring, coat, jacket, short, white, fall, silk, pant, gown, chiffon, blouse, trench, hem, print","spring, skirt, youthful, crochet, transparency, hem, price, surprising, coat, blouse, fall, sundress, sweater, poppy, gazar"
3,2006-02-03,2006-10-08,9,0.8611,"jacket, skirt, coat, pant, silk, white, fall, spring, short, print, gown, sleeve, waist, leather, hand","clientele, gauzy, formal, installation, groovy, versatility, calling, fresh, womenswear, ongoing, pant, lilac, silk, jacket, jewelry"
4,2007-02-01,2007-10-08,0,0.8701,"jacket, coat, skirt, silk, pant, white, short, shoulder, high, print, leather, gown, body, shirt, strong","jacket, cut, shoulder, buttery, comfortable, silk, arm, skirt, gauzy, pant, prettiness, leather, high, waistcoat, body"
4,2007-02-01,2007-10-08,1,0.8797,"skirt, jacket, silk, coat, gown, white, short, sleeve, print, waist, number, chiffon, shoulder, high, satin","skirt, gown, yard, silk, sleeve, shocking, outsize, waist, cocktail, collar, number, jacket, beading, corsage, graceful"
4,2007-02-01,2007-10-08,2,0.861,"print, pant, jacket, coat, skirt, short, silk, white, high, chiffon, seventy, shoulder, satin, gown, floral","print, rhinestone, pant, floral, seventy, silk, giddy, daisy, quintessential, short, prom, skirt, sixty, role, drop"
4,2007-02-01,2007-10-08,3,0.8887,"coat, jacket, skirt, fur, leather, pant, short, white, silk, high, print, sweater, body, shoulder, suit","coat, fur, jacket, cable, shearling, skirt, sweater, fall, nubby, tweed, sable, boot, leather, orange, basketball"
4,2007-02-01,2007-10-08,4,0.8776,"jacket, coat, skirt, high, white, short, print, pant, body, shoulder, leather, gown, young, blue, satin","jacket, body, high, coat, shoulder, price, skirt, passage, narrow, white, fact, german, approach, volume, orange"
4,2007-02-01,2007-10-08,5,0.8367,"jacket, print, coat, silk, gown, white, shirt, pant, short, skirt, big, chiffon, young, audience, leather","sister, grommet, performance, print, argument, dog, shirt, big, audience, gown, explanation, camouflage, screen, young, end"
4,2007-02-01,2007-10-08,6,0.8846,"jacket, short, skirt, gown, pant, white, shoulder, coat, silk, high, chiffon, print, sleeve, waist, suit","goddess, roman, laced, short, gown, jacket, shoulder, forty, lace, bow, lingerie, heyday, gamine, magical, nostalgic"
4,2007-02-01,2007-10-08,7,0.8741,"coat, jacket, short, print, white, skirt, pant, leather, high, young, shirt, silk, big, sporty, shoulder","coat, plastic, fun, short, print, sporty, white, heavy, jacket, young, nylon, game, patent, shirt, summer"
4,2007-02-01,2007-10-08,8,0.8276,"jacket, print, coat, white, silk, short, pant, skirt, gown, chiffon, shirt, number, high, neckline, body","print, neckline, socialite, jacket, collage, archive, chiffon, white, maillot, party, silk, respect, basket, traditional, shirt"
4,2007-02-01,2007-10-08,9,0.8705,"jacket, coat, pant, short, silk, skirt, white, print, leather, number, gown, shoulder, sleeve, suit, signature","pant, coat, jacket, silk, short, anorak, devoted, languid, scalloped, swan, burlap, follower, cotton, white, challenge"
5,2008-01-31,2008-10-05,0,0.8982,"jacket, skirt, coat, pant, print, leather, short, silk, white, suit, high, shoulder, waist, gown, chiffon","brazilian, masculine, jacket, return, skirt, feminine, short, leather, com, coat, suit, pant, gauze, latin, bedroom"
5,2008-01-31,2008-10-05,1,0.886,"jacket, silk, print, skirt, gown, coat, pant, waist, white, leather, chiffon, neckline, suit, number, shoulder","silk, neckline, gown, vivid, painting, minded, carpet, wool, ruffle, skirt, jeweled, jacket, print, waist, petal"
5,2008-01-31,2008-10-05,2,0.8928,"print, jacket, skirt, silk, coat, short, pant, leather, gown, shoulder, white, suit, big, high, lace","print, daughter, ruching, uneven, topstitching, present, short, silk, demand, jacket, leather, floral, endless, reputation, skirt"
5,2008-01-31,2008-10-05,3,0.9012,"jacket, coat, skirt, fur, pant, print, leather, high, silk, shoulder, sweater, cashmere, gown, tweed, short","fur, coat, jacket, tweed, luxury, cashmere, shearling, sweater, skirt, neckpiece, pant, mink, leather, boot, impeccable"
5,2008-01-31,2008-10-05,4,0.8737,"jacket, high, skirt, print, pant, body, coat, short, white, leather, shoulder, blue, chiffon, end, sleeve","ice, body, high, technical, end, bodysuit, african, extraordinary, blue, toile, genuine, remote, imagination, marled, work"
5,2008-01-31,2008-10-05,5,0.873,"print, jacket, white, skirt, coat, chiffon, leather, pant, silk, high, gown, lace, short, sweater, young","print, extreme, doubt, jacket, white, ability, car, chiffon, flight, whiff, antidote, service, chinchilla, craze, lamé"
5,2008-01-31,2008-10-05,6,0.8958,"jacket, silk, pant, skirt, shoulder, coat, print, satin, gown, short, white, number, lace, high, leather","satin, number, memory, shoulder, jacket, silk, pant, macram, lace, organza, gown, netting, goddess, makeup, strapless"
5,2008-01-31,2008-10-05,7,0.8716,"print, pant, jacket, high, skirt, white, leather, coat, short, young, silk, gown, shoulder, shirt, blue","fun, bikini, half, giant, wash, jean, high, nautical, course, cover, book, japanese, pant, graffiti, parka"
5,2008-01-31,2008-10-05,8,0.8797,"print, skirt, jacket, white, short, coat, silk, chiffon, pant, waist, gown, young, lace, high, signature","print, skirt, white, chiffon, short, calling, young, sweet, jacket, lime, photo, signature, medallion, choker, typical"
5,2008-01-31,2008-10-05,9,0.8816,"jacket, skirt, print, white, pant, silk, coat, leather, high, shoulder, short, chiffon, suit, gown, shirt","exhibition, jacket, menswear, white, button, linen, husband, splash, silk, rebel, niche, son, feminine, pant, trouser"
6,2009-01-30,2009-10-08,0,0.8896,"jacket, leather, skirt, white, pant, silk, coat, short, print, shoulder, body, gown, signature, strong, spring","leather, task, jacket, white, skirt, horse, circle, spring, pant, creamy, neckline, signature, net, strong, narrow"
6,2009-01-30,2009-10-08,1,0.8854,"jacket, gown, white, skirt, silk, coat, shoulder, print, pant, short, sleeve, leather, cocktail, wool, number","gown, cocktail, column, wool, moody, sleeve, crystal, white, silk, shoulder, neckline, skirt, number, understatement, jacket"
6,2009-01-30,2009-10-08,2,0.8871,"print, jacket, pant, leather, short, skirt, silk, coat, white, shoulder, chiffon, shirt, high, body, denim","army, print, denim, pant, halterneck, jacket, seventy, satchel, chiffon, short, natural, devoted, paisley, epaulet, feather"
6,2009-01-30,2009-10-08,3,0.89,"coat, jacket, leather, high, pant, fur, shoulder, print, skirt, silk, white, sleeve, big, tweed, strong","coat, fur, leather, luxury, high, jacket, tweed, knit, mink, funnel, matchy, boot, interplay, tight, pant"
6,2009-01-30,2009-10-08,4,0.8613,"jacket, coat, leather, shoulder, print, white, skirt, body, short, pant, high, end, sleeve, work, eighty","jacket, church, coat, shoulder, tabard, body, modern, end, winter, level, secret, leather, historical, conceptual, intellectual"
6,2009-01-30,2009-10-08,5,0.8713,"jacket, leather, coat, print, skirt, short, white, big, silk, chiffon, shoulder, tulle, young, body, pant","leather, surreal, tulle, jacket, proud, blocking, head, pure, coat, experience, city, big, multiple, toe, swimsuit"
6,2009-01-30,2009-10-08,6,0.8826,"jacket, shoulder, print, short, skirt, leather, silk, coat, chiffon, high, white, blouse, lace, satin, gown","shoulder, tailcoat, camouflage, chain, elastic, jacket, satin, ruffled, patchworked, thigh, print, brainer, lingerie, short, slight"
6,2009-01-30,2009-10-08,7,0.8665,"jacket, leather, short, young, print, white, pant, coat, shirt, silk, big, high, skirt, shoulder, blue","young, shirt, jacket, short, leather, big, legging, jean, boot, wash, fun, giant, denim, follower, blue"
6,2009-01-30,2009-10-08,8,0.897,"print, jacket, silk, skirt, coat, short, white, pant, gown, leather, chiffon, shoulder, young, lace, embroidery","print, silk, swirl, butterfly, lavish, abundance, fruit, mill, skirt, embroidery, ruching, short, innocence, white, fishtail"
6,2009-01-30,2009-10-08,9,0.8914,"jacket, pant, skirt, short, silk, white, print, coat, shoulder, leather, soft, body, signature, high, sheer","pant, jacket, bridge, short, silk, skirt, white, scheme, paean, nomadic, khaki, button, soft, choker, corner"
7,2010-02-02,2010-11-11,0,0.9089,"jacket, leather, white, skirt, silk, pant, print, shirt, short, lace, coat, gown, shoulder, cotton, signature","jacket, white, leather, shirt, handwork, indigo, pant, ceramic, peplum, skirt, cotton, silk, pack, roomy, lace"
7,2010-02-02,2010-11-11,1,0.9009,"silk, jacket, skirt, coat, white, leather, print, gown, pant, lace, short, high, wool, sleeve, shoulder","silk, carpet, gown, white, coat, heavy, column, sleeve, tree, lineup, number, asymmetrical, sleeveless, skirt, organza"
7,2010-02-02,2010-11-11,2,0.8898,"jacket, print, leather, silk, skirt, short, white, high, shirt, pant, coat, pair, big, cotton, lace","print, verland, denim, shirt, promise, pixelated, jacket, high, dragon, silk, short, cherry, linen, cotton, leather"
7,2010-02-02,2010-11-11,3,0.8985,"jacket, leather, coat, skirt, fur, silk, print, short, pant, wool, sweater, high, blouse, big, boot","fur, coat, jacket, leather, ice, wool, shearling, boot, sweater, vest, camel, outerwear, cashmere, skirt, tweed"
7,2010-02-02,2010-11-11,4,0.8801,"leather, jacket, skirt, coat, print, work, white, short, body, silk, pant, hand, high, strong, fur","work, body, leather, armor, skirt, art, coat, daisy, genius, hand, feat, jacket, graphic, material, form"
7,2010-02-02,2010-11-11,5,0.889,"jacket, print, skirt, leather, coat, white, short, silk, big, suit, high, lace, shirt, gown, signature","print, jacket, suit, cloud, fishnet, performance, skirt, era, big, lurid, fact, mystery, synthetic, machine, evocative"
7,2010-02-02,2010-11-11,6,0.8721,"jacket, leather, skirt, print, silk, short, coat, pant, white, lace, high, body, chiffon, gown, sexy","fishtail, melancholy, rubber, control, skirt, leather, lace, jacket, chiffon, short, edgy, silk, puff, print, pant"
7,2010-02-02,2010-11-11,7,0.8788,"leather, jacket, skirt, print, high, white, pant, shirt, silk, coat, big, short, bag, pair, gown","leather, bag, plaid, contemporary, skirt, high, print, jacket, stellar, hotel, fluffy, shoot, different, pair, shirt"
7,2010-02-02,2010-11-11,8,0.8871,"print, skirt, white, jacket, silk, leather, short, coat, pant, floral, gown, big, lace, high, shift","print, skirt, floral, doll, innocence, white, broderie, anglaise, decorous, neckline, poor, midriff, shift, baby, button"
7,2010-02-02,2010-11-11,9,0.8923,"jacket, leather, skirt, silk, pant, print, white, coat, short, high, work, wool, gown, big, shirt","pant, circular, jacket, silk, leather, skirt, retail, conversation, white, welcome, utilitarian, severe, print, ponyhair, right"
8,2011-02-08,2011-11-04,0,0.9127,"skirt, jacket, print, leather, white, pant, silk, short, coat, lace, trouser, fur, presentation, sleeve, pair","jacket, skirt, basketball, pant, white, cheerleader, leather, masculine, print, city, plum, button, freedom, trouser, down"
8,2011-02-08,2011-11-04,1,0.9222,"skirt, print, jacket, silk, white, gown, leather, coat, sleeve, lace, pant, number, wool, short, pair","gown, jeweled, skirt, cocktail, bodice, sleeve, number, silk, white, jacket, print, lace, strapless, neckline, sequin"
8,2011-02-08,2011-11-04,2,0.9109,"print, skirt, jacket, pant, white, leather, silk, pair, shirt, short, coat, lace, floral, high, suit","print, letter, pant, shirt, pair, hot, white, khaki, silk, spring, jacket, skirt, trench, flowy, card"
8,2011-02-08,2011-11-04,3,0.9259,"leather, coat, jacket, skirt, fur, print, wool, silk, pant, white, sweater, pair, short, sleeve, high","coat, fur, leather, wool, jacket, skirt, shearling, verland, winter, sweater, outerwear, collar, knit, tweed, peacoat"
8,2011-02-08,2011-11-04,4,0.8938,"jacket, print, leather, skirt, coat, white, pant, short, silk, big, body, wool, fur, lace, sleeve","metal, car, jacket, ninety, nature, habit, body, print, immaculate, open, creativity, leather, coat, reference, armor"
8,2011-02-08,2011-11-04,5,0.9043,"skirt, print, white, jacket, short, coat, leather, silk, lace, floral, moment, pant, big, suit, young","skirt, print, short, white, moment, place, jazz, swirl, site, young, vortex, cake, makeup, soundtrack, brocade"
8,2011-02-08,2011-11-04,6,0.8979,"skirt, print, jacket, lace, white, coat, gown, silk, leather, sleeve, pant, short, pair, high, wool","lace, gown, delicate, lingerie, sleeve, baroque, count, white, jacket, latex, skirt, cluster, wedding, print, coat"
8,2011-02-08,2011-11-04,7,0.9106,"skirt, print, jacket, leather, pant, short, white, coat, high, silk, pair, shirt, sweater, blue, big","generation, skirt, tracksuit, journey, jean, classic, young, company, street, high, tee, denim, jacket, leather, print"
8,2011-02-08,2011-11-04,8,0.9128,"print, skirt, white, silk, jacket, leather, short, floral, pant, coat, lace, pair, high, gown, blue","print, cha, raffia, paint, skirt, floral, damask, silk, matching, short, white, fun, tropical, graphic, checkerboard"
8,2011-02-08,2011-11-04,9,0.9251,"skirt, jacket, leather, print, silk, pant, coat, white, lace, short, sleeve, wool, shirt, sheer, blue","silk, skirt, jacket, leather, pant, print, belt, fatale, sheer, orchid, edge, lace, coat, note, work"
9,2012-02-03,2012-12-07,0,0.9223,"jacket, leather, skirt, print, white, silk, pant, coat, short, strong, lace, presentation, signature, trouser, sheer","jacket, leather, skirt, white, bandage, silk, cutout, middle, print, note, waistline, mannish, masculine, sexy, bottle"
9,2012-02-03,2012-12-07,1,0.9269,"print, skirt, white, gown, leather, jacket, silk, coat, lace, pant, hand, satin, embroidery, number, sleeve","gown, white, number, cocktail, satin, neckline, column, embroidery, skirt, lace, silk, delicate, lambskin, simple, print"
9,2012-02-03,2012-12-07,2,0.9199,"print, jacket, leather, skirt, white, short, pant, silk, coat, shirt, high, trouser, cool, strong, floral","print, short, denim, jacket, linen, leather, lineup, jean, cotton, cool, pool, pant, range, white, shirt"
9,2012-02-03,2012-12-07,3,0.9399,"leather, coat, jacket, print, skirt, fur, pant, wool, silk, sweater, high, white, big, hand, strong","fur, coat, wool, leather, jacket, luxury, mink, bag, outerwear, sweater, cashmere, chinchilla, lamb, skirt, pelt"
9,2012-02-03,2012-12-07,4,0.9009,"print, jacket, leather, white, skirt, coat, silk, hand, pant, work, high, trouser, big, strong, material","authority, print, hand, nylon, jacket, white, secret, layering, venue, political, material, certain, work, furry, art"
9,2012-02-03,2012-12-07,5,0.9094,"print, skirt, jacket, white, leather, coat, silk, pant, work, signature, short, life, lace, hand, blue","tennis, print, giant, lover, dream, giraffe, rose, catwalk, skirt, frothy, life, jungle, association, word, lady"
9,2012-02-03,2012-12-07,6,0.913,"print, leather, jacket, skirt, coat, white, pant, gown, silk, sheer, lace, sleeve, short, trouser, high","steam, gown, leather, sheer, jacket, skirt, coat, print, lace, legend, balloon, pant, inset, velvet, cut"
9,2012-02-03,2012-12-07,7,0.9196,"print, jacket, skirt, leather, pant, coat, white, silk, high, short, big, shirt, pink, pair, signature","print, pant, high, skirt, jacket, swimwear, leather, price, pink, futuristic, drab, short, vinyl, silk, slogan"
9,2012-02-03,2012-12-07,8,0.9264,"print, skirt, white, jacket, pant, short, coat, leather, silk, sweater, gown, lace, blue, floral, high","print, skirt, frock, crystal, flounce, short, white, chevron, sweater, floral, birthday, tempting, pant, costume, mien"
9,2012-02-03,2012-12-07,9,0.9276,"skirt, jacket, print, leather, coat, pant, silk, white, strong, shirt, big, sleeve, trouser, signature, hand","skirt, tie, jacket, leather, print, pant, strong, coat, silk, grouping, tactile, note, preppy, partner, shirt"
10,2013-01-30,2013-10-30,0,0.9139,"skirt, print, white, leather, jacket, coat, silk, wool, pant, hand, body, short, graphic, trouser, shirt","wool, towel, white, skirt, static, body, print, graphic, con, interest, volume, coat, bent, leather, silk"
10,2013-01-30,2013-10-30,1,0.9326,"skirt, gown, white, print, silk, lace, jacket, coat, leather, sleeve, body, floral, blue, number, pant","gown, lace, carpet, tulle, fishnet, silk, crepe, cocktail, skirt, white, satin, beading, number, body, sheath"
10,2013-01-30,2013-10-30,2,0.9281,"print, jacket, skirt, leather, white, silk, shirt, short, trouser, pant, signature, coat, lineup, suit, cool","print, shirt, lineup, jacket, short, skirt, leather, silk, trouser, white, cool, denim, sporty, pullover, easy"
10,2013-01-30,2013-10-30,3,0.9296,"leather, jacket, coat, skirt, print, fur, wool, sweater, pant, trouser, silk, white, shoulder, sleeve, double","fur, leather, coat, jacket, shearling, wool, outerwear, sweater, faux, cashmere, plaid, double, pant, skirt, mink"
10,2013-01-30,2013-10-30,4,0.9106,"skirt, jacket, print, white, leather, coat, short, silk, work, trouser, art, material, real, hand, shirt","art, work, short, skirt, domestic, architect, aerial, irony, jacket, display, fluid, issue, real, use, square"
10,2013-01-30,2013-10-30,5,0.9148,"print, skirt, jacket, white, leather, coat, presentation, place, past, catwalk, shirt, short, hand, people, eye","notion, catwalk, place, past, gilded, makeup, people, control, eye, globe, music, power, wonderful, presentation, painting"
10,2013-01-30,2013-10-30,6,0.9136,"skirt, print, jacket, white, leather, silk, coat, gown, short, lace, pant, trouser, sleeve, floral, hand","skirt, weakness, satin, white, gown, print, jacket, silk, lace, serene, short, fish, wispy, cut, floral"
10,2013-01-30,2013-10-30,7,0.9126,"leather, jacket, print, skirt, white, coat, pant, classic, high, short, silk, sweater, presentation, suit, sweatshirt","classic, activewear, leather, logo, band, sweatshirt, jacket, eighty, showgirl, jean, item, young, fearless, ninety, people"
10,2013-01-30,2013-10-30,8,0.9266,"print, skirt, white, jacket, leather, silk, floral, coat, short, pant, blue, lace, trouser, gown, high","print, floral, white, skirt, blue, sweet, velour, seersucker, cha, pretty, pleated, international, short, cotton, flounce"
10,2013-01-30,2013-10-30,9,0.9317,"print, skirt, jacket, leather, silk, white, coat, pant, blue, sweater, wool, hand, trouser, strong, suit","dye, print, silk, jacket, skirt, blue, deconstruction, leather, tie, flip, physical, white, coat, pant, instance"
11,2014-01-30,2014-06-12,0,0.8713,"jacket, skirt, coat, leather, print, green, hand, trouser, wool, silk, pant, sweater, white, fall, graphic","corporate, paper, green, splash, pistachio, jacket, limit, stroke, keen, skirt, grace, earth, slash, asymmetry, substantial"
11,2014-01-30,2014-06-12,1,0.8924,"skirt, coat, gown, leather, silk, lace, high, print, wool, jacket, fall, sleeve, hand, trouser, neck","gown, lace, carpet, metallic, skirt, neckline, high, gala, bugle, intense, silk, lbd, attire, starlet, number"
11,2014-01-30,2014-06-12,2,0.8621,"jacket, skirt, leather, print, coat, pant, sweater, white, silk, plaid, shirt, cool, wool, high, fall","grunge, plaid, frilly, laced, pant, groove, novelty, cool, capsule, jacket, shirt, campaign, highlight, romper, denim"
11,2014-01-30,2014-06-12,3,0.926,"coat, leather, jacket, skirt, wool, sweater, fur, silk, print, hand, pant, trouser, white, high, collar","coat, leather, jacket, sweater, wool, fur, skirt, turtleneck, cozy, outerwear, shearling, furry, collar, lineup, mohair"
11,2014-01-30,2014-06-12,4,0.8339,"coat, jacket, print, skirt, fur, leather, hand, end, silk, jacquard, fall, signature, shoe, white, sweater","oxford, clunky, stirrup, nylon, shoe, earthy, smock, talk, official, fire, fur, blocking, ring, intriguing, bike"
11,2014-01-30,2014-06-12,5,0.8259,"coat, hand, past, skirt, leather, print, presentation, catwalk, life, real, end, fur, work, culture, jacket","culture, supermarket, life, past, mass, obsession, extravagant, movie, catwalk, ongoing, candy, exhibition, theatrical, ground, presentation"
11,2014-01-30,2014-06-12,6,0.834,"coat, skirt, jacket, print, leather, velvet, gown, silk, wool, pant, chiffon, white, fur, body, lace","dart, dévoré, motion, oeuvre, retrospective, draping, velvet, reality, chiffon, possibility, suggestive, knot, cake, forty, lacing"
11,2014-01-30,2014-06-12,7,0.8535,"coat, leather, jacket, skirt, sweater, print, fur, shirt, wool, pant, big, strong, well, knit, high","billionaire, mile, contender, stock, ply, price, leather, urban, well, chocolate, deluxe, camo, shirt, shag, slip"
11,2014-01-30,2014-06-12,8,0.8052,"coat, print, skirt, leather, silk, gown, sweater, white, cashmere, wool, jacket, suit, business, shoulder, pant","tweedy, remote, bridge, winter, pale, formal, unusual, patent, print, diverse, business, pleasure, coat, cashmere, portion"
11,2014-01-30,2014-06-12,9,0.8733,"coat, skirt, jacket, wool, print, leather, silk, big, sweater, hand, jacquard, pant, trouser, fur, suit","insulation, pile, pannier, refinement, wool, generous, offer, jacket, confident, gentle, coat, duality, print, antidote, word"
